[ 2013-02-28T13:00:11+00:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-28T13:00:11+00:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.020608s SQL = SHOW COLUMNS FROM ts_home_type
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.001377s SQL = SELECT id,name FROM `ts_home_type` WHERE ( `status` = 1 )
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [2] Missing argument 5 for getChildTree(), called in D:\Zend\Apache2\htdocs\trunk\apps\house\Lib\Action\HomeAction.class.php on line 8 and defined extend.php 第 2484 行.
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.005109s SQL = SHOW COLUMNS FROM ts_home_region
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.002880s SQL = SELECT * FROM `ts_home_region` WHERE ( `status` = 1 ) ORDER BY id
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined variable: name extend.php 第 2508 行.
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | SQL:  RunTime:0.006351s SQL = SHOW COLUMNS FROM ts_home
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: publish HomeAction.class.php 第 90 行.
[ 2013-02-28T21:00:11+08:00 ] /trunk/index.php?app=House&mod=Home&act=index | NOTIC: [8] Undefined index: homesize HomeAction.class.php 第 93 行.
