[ 2013-04-03T06:21:30+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T14:21:30+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.004155s SQL = SHOW COLUMNS FROM ts_member
[ 2013-04-03T14:21:30+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.001417s SQL = SELECT COUNT(id) AS tp_count FROM `ts_member` LIMIT 1 
[ 2013-04-03T14:21:30+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: list 27e93efa9cc9d68081dcbff867a0ac25.php 第 16 行.
[ 2013-04-03T14:21:30+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: page 27e93efa9cc9d68081dcbff867a0ac25.php 第 28 行.
[ 2013-04-03T06:21:31+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T06:21:31+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T14:21:31+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.004656s SQL = SHOW COLUMNS FROM ts_member
[ 2013-04-03T14:21:31+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.001466s SQL = SELECT COUNT(id) AS tp_count FROM `ts_member` LIMIT 1 
[ 2013-04-03T14:21:31+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: list 27e93efa9cc9d68081dcbff867a0ac25.php 第 16 行.
[ 2013-04-03T14:21:31+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: page 27e93efa9cc9d68081dcbff867a0ac25.php 第 28 行.
[ 2013-04-03T06:21:32+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T06:21:32+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T14:21:32+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.004673s SQL = SHOW COLUMNS FROM ts_member
[ 2013-04-03T14:21:32+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.001010s SQL = SELECT COUNT(id) AS tp_count FROM `ts_member` LIMIT 1 
[ 2013-04-03T14:21:32+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: list 27e93efa9cc9d68081dcbff867a0ac25.php 第 16 行.
[ 2013-04-03T14:21:32+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: page 27e93efa9cc9d68081dcbff867a0ac25.php 第 28 行.
[ 2013-04-03T12:38:39+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-03T12:38:39+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-03T20:38:39+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.004507s SQL = SHOW COLUMNS FROM ts_member
[ 2013-04-03T20:38:39+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.001409s SQL = SELECT COUNT(id) AS tp_count FROM `ts_member` LIMIT 1 
[ 2013-04-03T20:38:39+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: list 27e93efa9cc9d68081dcbff867a0ac25.php 第 16 行.
[ 2013-04-03T20:38:39+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: page 27e93efa9cc9d68081dcbff867a0ac25.php 第 28 行.
