[ 2013-02-27T07:16:23+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T07:16:23+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T15:16:23+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.003808s SQL = SHOW COLUMNS FROM ts_member
[ 2013-02-27T15:16:23+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.001417s SQL = SELECT COUNT(id) AS tp_count FROM `ts_member` LIMIT 1 
[ 2013-02-27T15:16:23+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:16:23+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:16:23+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:16:23+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:16:23+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: list 27e93efa9cc9d68081dcbff867a0ac25.php 第 21 行.
[ 2013-02-27T15:16:23+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: page 27e93efa9cc9d68081dcbff867a0ac25.php 第 33 行.
[ 2013-02-27T07:19:45+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-02-27T07:19:45+00:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-02-27T15:19:45+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.004129s SQL = SHOW COLUMNS FROM ts_member
[ 2013-02-27T15:19:45+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | SQL:  RunTime:0.000827s SQL = SELECT COUNT(id) AS tp_count FROM `ts_member` LIMIT 1 
[ 2013-02-27T15:19:45+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:19:45+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:19:45+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-02-27T15:19:45+08:00 ] /trunk/index.php?app=Member&mod=Member&act=index | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
