[ 2013-04-07T13:56:32+08:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | SQL:  RunTime:0.002703s SQL = SELECT COUNT(*) AS tp_count FROM `ts_category` WHERE pid = 86 LIMIT 1 
[ 2013-04-07T13:56:32+08:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | SQL:  RunTime:0.002382s SQL = SELECT COUNT(*) AS tp_count FROM `ts_category` WHERE pid = 87 LIMIT 1 
[ 2013-04-07T13:56:32+08:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | SQL:  RunTime:0.002609s SQL = SELECT COUNT(*) AS tp_count FROM `ts_category` WHERE pid = 88 LIMIT 1 
[ 2013-04-07T05:56:33+00:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-07T05:56:33+00:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-07T13:56:33+08:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | SQL:  RunTime:0.005568s SQL = SHOW COLUMNS FROM ts_category
[ 2013-04-07T13:56:33+08:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | SQL:  RunTime:0.001890s SQL = SELECT * FROM `ts_category` WHERE ( `pid` = '75' )
[ 2013-04-07T13:56:33+08:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | SQL:  RunTime:0.004661s SQL = SHOW COLUMNS FROM ts_model
[ 2013-04-07T13:56:33+08:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | SQL:  RunTime:0.001784s SQL = SELECT * FROM `ts_model` WHERE 1=1 AND id='1' LIMIT 1 
[ 2013-04-07T13:56:33+08:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | SQL:  RunTime:0.004866s SQL = SHOW COLUMNS FROM ts_category
[ 2013-04-07T13:56:33+08:00 ] /trunk/index.php?app=content&mod=Category&act=showCategoryListAjax | SQL:  RunTime:0.001768s SQL = SELECT COUNT(*) AS tp_count FROM `ts_category` WHERE pid = 84 LIMIT 1 
[ 2013-04-07T05:56:34+00:00 ] /trunk/index.php?app=content&mod=content&act=content&catid=84&type=0&modelid=1 | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-07T05:56:34+00:00 ] /trunk/index.php?app=content&mod=content&act=content&catid=84&type=0&modelid=1 | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-07T13:56:34+08:00 ] /trunk/index.php?app=content&mod=content&act=content&catid=84&type=0&modelid=1 | SQL:  RunTime:0.004375s SQL = SHOW COLUMNS FROM ts_model
[ 2013-04-07T13:56:34+08:00 ] /trunk/index.php?app=content&mod=content&act=content&catid=84&type=0&modelid=1 | SQL:  RunTime:0.001626s SQL = SELECT `tablename` FROM `ts_model` WHERE ( `id` = '1' ) LIMIT 1 
[ 2013-04-07T13:56:34+08:00 ] /trunk/index.php?app=content&mod=content&act=content&catid=84&type=0&modelid=1 | SQL:  RunTime:0.004370s SQL = SHOW COLUMNS FROM ts_news
[ 2013-04-07T13:56:34+08:00 ] /trunk/index.php?app=content&mod=content&act=content&catid=84&type=0&modelid=1 | SQL:  RunTime:0.011727s SQL = SELECT COUNT(id) AS tp_count FROM `ts_news` WHERE ( `status` = 1 ) AND ( `catid` = '84' ) LIMIT 1 
[ 2013-04-07T13:56:34+08:00 ] /trunk/index.php?app=content&mod=content&act=content&catid=84&type=0&modelid=1 | SQL:  RunTime:0.000846s SQL = SELECT * FROM `ts_news` WHERE ( `status` = 1 ) AND ( `catid` = '84' ) ORDER BY `id` desc LIMIT 0,10 
[ 2013-04-07T05:56:35+00:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-07T05:56:35+00:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-07T13:56:35+08:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | NOTIC: [8] Undefined index: modelid ContentAction.class.php 第 10 行.
[ 2013-04-07T13:56:35+08:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | SQL:  RunTime:0.009053s SQL = SHOW COLUMNS FROM ts_model
[ 2013-04-07T13:56:35+08:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | SQL:  RunTime:0.001349s SQL = SELECT `tablename` FROM `ts_model` LIMIT 1 
[ 2013-04-07T13:56:35+08:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | SQL:  RunTime:0.005426s SQL = SHOW COLUMNS FROM ts_news
[ 2013-04-07T13:56:35+08:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | NOTIC: [8] Undefined index: id ContentAction.class.php 第 12 行.
[ 2013-04-07T13:56:35+08:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | SQL:  RunTime:0.001717s SQL = SELECT * FROM `ts_news` WHERE ( `id` = null ) LIMIT 1 
[ 2013-04-07T13:56:35+08:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | NOTIC: [8] Undefined variable: taglibs ThinkTemplate.class.php 第 254 行.
[ 2013-04-07T13:56:35+08:00 ] /trunk/index.php?app=content&mod=Content&act=add&catid=84&type=0 | NOTIC: [2] Invalid argument supplied for foreach() ThinkTemplate.class.php 第 254 行.
[ 2013-04-07T05:56:42+00:00 ] /trunk/index.php?app=content&mod=content&act=saveOrUpdate | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-07T05:56:42+00:00 ] /trunk/index.php?app=content&mod=content&act=saveOrUpdate | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-07T13:56:42+08:00 ] /trunk/index.php?app=content&mod=content&act=saveOrUpdate | SQL:  RunTime:0.004623s SQL = SHOW COLUMNS FROM ts_news
[ 2013-04-07T13:56:42+08:00 ] /trunk/index.php?app=content&mod=content&act=saveOrUpdate | SQL:  RunTime:0.001394s SQL = INSERT INTO `ts_news` (`id`,`catid`,`title`,`keywords`,`description`,`status`,`createtime`) VALUES ('','84','err','erer','erer',1,1365314202)
[ 2013-04-07T05:56:42+00:00 ] /trunk/index.php?app=content&mod=Content&act=content&catid=84&type=0 | NOTIC: [2048] Declaration of XdataModel::save() should be compatible with that of Model::save() XdataModel.class.php 第 0 行.
[ 2013-04-07T05:56:42+00:00 ] /trunk/index.php?app=content&mod=Content&act=content&catid=84&type=0 | NOTIC: [8] Undefined index: banip App.class.php 第 493 行.
[ 2013-04-07T13:56:42+08:00 ] /trunk/index.php?app=content&mod=Content&act=content&catid=84&type=0 | NOTIC: [8] Undefined index: modelid ContentAction.class.php 第 23 行.
[ 2013-04-07T13:56:42+08:00 ] /trunk/index.php?app=content&mod=Content&act=content&catid=84&type=0 | SQL:  RunTime:0.005080s SQL = SHOW COLUMNS FROM ts_model
[ 2013-04-07T13:56:42+08:00 ] /trunk/index.php?app=content&mod=Content&act=content&catid=84&type=0 | SQL:  RunTime:0.002240s SQL = SELECT `tablename` FROM `ts_model` LIMIT 1 
[ 2013-04-07T13:56:42+08:00 ] /trunk/index.php?app=content&mod=Content&act=content&catid=84&type=0 | SQL:  RunTime:0.006052s SQL = SHOW COLUMNS FROM ts_news
[ 2013-04-07T13:56:42+08:00 ] /trunk/index.php?app=content&mod=Content&act=content&catid=84&type=0 | SQL:  RunTime:0.002075s SQL = SELECT COUNT(id) AS tp_count FROM `ts_news` WHERE ( `status` = 1 ) AND ( `catid` = '84' ) LIMIT 1 
[ 2013-04-07T13:56:42+08:00 ] /trunk/index.php?app=content&mod=Content&act=content&catid=84&type=0 | SQL:  RunTime:0.003058s SQL = SELECT * FROM `ts_news` WHERE ( `status` = 1 ) AND ( `catid` = '84' ) ORDER BY `id` desc LIMIT 0,10 
